Size, Reads, Allocations
1000, 1396684, 201
900, 1128846, 201
800, 888318, 201
700, 681110, 201
600, 493774, 201
500, 344804, 201
400, 223946, 201
300, 123148, 201
200, 55362, 201
100, 13644, 201
