Size, Reads, Allocations
1000, 251939, 384
900, 210686, 384
800, 170562, 384
700, 130159, 384
600, 97667, 384
500, 70530, 384
400, 47851, 384
300, 28231, 384
200, 13722, 384
100, 4403, 384
