Size, Reads, Allocations
1000, 1000998, 204
900, 810898, 204
800, 640798, 204
700, 490698, 204
600, 360598, 204
500, 250498, 204
400, 160398, 204
300, 90298, 204
200, 40198, 204
100, 10098, 204
